"Part","Value","Device","Package","Description","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","BUILT_BY","CATEGORY","COLOR","CONTACTS","COPYRIGHT","CURRENT_RATING","DATASHEET-URL","DESCRIPTION","DRAIN_CURRENT","FORWARD_CURRENT","GENDER","HEIGHT","MANUFACTURER","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MOUNT_TYPE","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","OPERATING_TEMP","OPERATION-FORCE","PART-NUMBER","PART_STATUS","POPULARITY","QTY","REFDES","REVERSE_VOLTAGE","ROHS_COMPLIANT","SERIES","SPICEPREFIX","SUB-CATEGORY","THERMALLOSS","TYPE","VALUE","VENDOR","VOLTAGE_RATING",
"Q411","BSS138","NMOSFETSOT23-GSD","SOT23","N-Channel MOSFET - Generic","","","","Transistor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOSFET","","N-Channel","NMOSFET","","",
"Q412","BSS138","NMOSFETSOT23-GSD","SOT23","N-Channel MOSFET - Generic","","","","Transistor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOSFET","","N-Channel","NMOSFET","","",
"R101","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R102","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R103","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R104","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R105","n/a","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R106","n/a","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R107","470","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R201","27R","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R202","27R","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R203","470","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R211","220","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R212","220","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R301","10k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R311","500R","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R312","500R","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R411","47K","R-EU_R0805W","R0805W","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","R","","","","","","",
"R412","47K","R-EU_R0805W","R0805W","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","R","","","","","","",
"R421","220","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R422","220","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R501","4K7","R-EU_R0805W","R0805W","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","R","","","","","","",
"R502","n/a","R-EU_R0805W","R0805W","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","R","","","","","","",
"S1","430152050826","430152050826","430152050826","WS-TASV SMT Tact Switch 6x6 mm","","","","","","","","","https://www.we-online.com/redexpert/spec/430152050826?ae","","","","","5mm","","","","","","","","","","","","","260g","430152050826","","","1000","","","","","","","","","430152050826","","",
"U100","ESP8266MOD","ESP8266MOD","ESP12F-SMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"U400","TMF 10105","TMF_101","TMF10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
