"#","Name","Value","Package","Manufacturer","Part No.","Details"
"1","","TG PC 1612-9-to","","Spelsberg","20100701","162 x 122 x 90 mm"
"2","U100","ESP8266MOD","","","",""
"3","C101","","0805","","",""
"4","C102","","0805","","",""
"5","R101","12K","0604","","",""
"6","R105","","0604","","",""
"7","R106","","0604","","",""
"8","R107","470R","0604","","",""
"9","R421","220R","0604","","",""
"10","R412","220R","0604","","",""
